"SITE_ID","DOC_Median","NO3_Median","TN_Median","TP_Median","TNtoTP_Median","NO3toTP_Median"
"NRS18_AL_10002",1.85,0.84205,1.1735,204.846,0.005747406,0.0041237865
"NRS18_AL_10004",4.985,0.0101,0.6725,44.4385,0.016188756,0.0002958315
"NRS18_AL_10005",4.39,0.0111,0.35,77.468,0.004517995,0.000143285
"NRS18_AL_10006",3.78,0.1177,0.244,24.868,0.009811806,0.00473299
"NRS18_AL_10007",2.3,1.071,1.444,27.466,0.052574092,0.038993665
"NRS18_AL_10008",3.04,0.5437,0.799,31.398,0.025447481,0.01731639
"NRS18_AL_10009",5.645,0.28025,0.5415,20.127,0.0281292575,0.0149981665
"NRS18_AL_10010",2.78,0.11715,0.7595,36.448,0.020144138,0.003226671
"NRS18_AL_10013",9.08,0.068,0.819,176.416,0.004642436,0.000385453
"NRS18_AL_10014",4.72,6e-04,0.401,37.996,0.010553742,1.57911e-05
"NRS18_AL_10015",4.32,1.006,1.405,320.616,0.004382189,0.00313771
"NRS18_AL_10016",2.69,0.9987,1.407,77.591,0.018133546,0.012871338
"NRS18_AL_10017",3.7,0.0165,0.305,38.696,0.007881952,0.000426401
"NRS18_AL_10018",1.52,0.4444,0.61,15.948,0.03824931,0.027865563
"NRS18_AL_10019",2.45,0.1134,0.22,18.738,0.011740847,0.006051873
"NRS18_AL_10020",1.32,0.0568,0.228,13.149,0.017339722,0.00431972
"NRS18_AL_10022",9.76,9e-04,1.16,216.096,0.005367985,4.16482e-06
"NRS18_AL_10023",4.53,0.0427,0.414,30.086,0.013760553,0.001419265
"NRS18_AL_10025",1.43,0.0054,0.074,9.47,0.00781415,0.000570222
"NRS18_AL_10031",1.62,0.17,0.279,15.825,0.017630332,0.010742496
"NRS18_AL_10039",1.55,1.6764,1.81,9.505,0.190426092,0.176370331
"NRS18_AL_10188",1.89,0.1328,0.358,39.025,0.009173607,0.003402947
"NRS18_AL_10189",0.52,1.7739,1.915,11.976,0.15990314,0.148121242
"NRS18_AL_10191",1.19,0.0349,0.116,17.155,0.006761877,0.002034392
"NRS18_AL_10638",5.6,0.0013,0.468,101.809,0.004596843,1.2769e-05
"NRS18_AL_10938",2.35,0.166,0.291,18.22,0.01597146,0.009110867
"NRS18_AL_11088",1.82,0.1326,0.461,58.009,0.007947043,0.002285852
"NRS18_AL_RF001",2.46,0.0219,0.16,8.8,0.018181818,0.002488636
"NRS18_AL_RF002",1.51,0.0036,0.129,50.933,0.002532739,7.06811e-05
"NRS18_AR_10001",3.03,0.28525,0.453,12.8145,0.031810144,0.017768692
"NRS18_AR_10002",3.57,2.5338,2.9575,240.235,0.0123137535,0.0105518585
"NRS18_AR_10004",0.93,0.1845,0.402,28.055,0.014328997,0.006576368
"NRS18_AR_10006",3.68,0.176,0.863,181.055,0.004766507,0.00097208
"NRS18_AR_10007",0.83,0.0272,0.149,8.88,0.016779279,0.003063063
"NRS18_AR_10008",3.2,6e-04,0.307,37.555,0.008174677,1.59766e-05
"NRS18_AR_10009",6.025,0.28525,1.693,265.1285,0.006300257,0.0010923415
"NRS18_AR_10010",3.84,2.50215,3.264,329.9675,0.0102763595,0.0078589445
"NRS18_AR_10014",0.68,0.0385,0.119,13.181,0.009028147,0.002920871
"NRS18_AR_10015",1.24,0.0041,0.099,9.719,0.010186233,0.000421854
"NRS18_AR_10016",1.72,0.165,0.263,4.548,0.057827617,0.036279683
"NRS18_AR_10017",3.03,2.1028,2.265,247.913,0.00913627,0.008482008
"NRS18_AR_10018",3.7,0.0533,0.721,121.466,0.005935817,0.000438806
"NRS18_AR_10021",2.75,0.34,0.769,130.44,0.005895431,0.002606562
"NRS18_AR_10022",2.05,0.094,0.428,50.301,0.008508777,0.00186875
"NRS18_AR_10024",2.67,0.1032,0.414,149.829,0.00276315,0.000688785
"NRS18_AR_10025",0.95,0.1485,0.307,19.555,0.01569931,0.007593966
"NRS18_AR_10026",3.56,2.645,3.353,344.805,0.009724337,0.007671002
"NRS18_AR_10027",2.62,0.4013,0.971,50.651,0.019170401,0.007922845
"NRS18_AR_10034",1.47,0.0154,0.244,20.031,0.012181119,0.000768808
"NRS18_AR_10039",5.55,0.2429,1.578,217.788,0.007245578,0.001115305
"NRS18_AR_10040",2.12,0.078,0.479,55.055,0.008700391,0.001416765
"NRS18_AR_10046",4.45,0.0637,1.15,132.268,0.008694469,0.000481598
"NRS18_AR_10190",1.44,0.104,0.242,12.243,0.019766397,0.00849465
"NRS18_AR_10191",0.76,0.0344,0.111,4.215,0.02633452,0.008161329
"NRS18_AR_10192",0.42,0.2518,0.305,12.238,0.024922373,0.020575257
"NRS18_AR_10489",1.33,0.075,0.209,18.48,0.011309524,0.004058442
"NRS18_AZ_10001",6.76,6.6886,8,2917.375,0.002742191,0.002292677
"NRS18_AZ_10002",2.44,0.3182,0.515,14.654,0.035143988,0.021714208
"NRS18_AZ_10003",1.97,0.0069,0.096,147.441,0.000651108,4.67984e-05
"NRS18_AZ_10004",2.64,0.2135,0.409,181.534,0.002253021,0.001176088
"NRS18_AZ_10005",2.78,0.2111,0.404,58.451,0.006911772,0.003611572
"NRS18_AZ_10006",2.01,0.0315,0.375,165.808,0.002261652,0.000189979
"NRS18_AZ_10007",2.72,0.3272,0.546,14.176,0.038515801,0.023081264
"NRS18_AZ_10008",4.39,0,0.251,46.744,0.005369673,0
"NRS18_AZ_10009",8.51,0.0108,0.385,79.99,0.004813102,0.000135017
"NRS18_AZ_10010",1.79,1e-04,0.265,76.923,0.003445003,1.3e-06
"NRS18_AZ_10011",0.62,0.1151,0.194,22.443,0.008644121,0.005128548
"NRS18_AZ_10012",2.24,0.0078,0.134,19.394,0.006909353,0.000402186
"NRS18_AZ_10013",2.09,0.0094,0.115,110.899,0.00103698,8.47618e-05
"NRS18_AZ_10014",2.66,0.1996,0.381,36.135,0.010543794,0.00552373
"NRS18_AZ_10015",4.42,0.0015,0.279,108.451,0.00257259,1.38311e-05
"NRS18_AZ_10016",1.23,0.5745,0.673,71.168,0.009456497,0.008072448
"NRS18_AZ_10020",2.43,0.372,0.55,7.698,0.071447129,0.04832424
"NRS18_AZ_10021",0.7,0.0335,0.106,28.039,0.003780449,0.001194764
"NRS18_AZ_10024",0.89,0.013,0.136,48.693,0.002793009,0.000266979
"NRS18_AZ_10027",2.12,0.6372,0.984,269.423,0.003652249,0.002365054
"NRS18_AZ_10456",5.15,0.3158,1.066,611.498,0.00174326,0.000516437
"NRS18_AZ_10457",2.82,1.8497,2.44,37.898,0.064383345,0.048807325
"NRS18_AZ_10843",2.49,0,0.17,48.479,0.003506673,0
"NRS18_AZ_12037",0.91,0.4945,0.604,99.983,0.006041027,0.004945841
"NRS18_AZ_12038",1.31,0.5593,0.758,75.189,0.010081262,0.007438588
"NRS18_AZ_12837",2.51,0.3176,0.513,15.844,0.032378187,0.020045443
"NRS18_AZ_12844",2.79,0.1875,0.47,35.778,0.013136564,0.005240651
"NRS18_CA_10001",1.68,0.004,0.0795,30.9245,0.0025714285,0.0001297101
"NRS18_CA_10002",1.795,0.0012,0.1795,45.381,0.0039513535,2.644505e-05
"NRS18_CA_10004",0.62,0.0012,0.056,26.855,0.002085273,4.46844e-05
"NRS18_CA_10005",0.54,0.0188,0.053,27.893,0.001900118,0.000674004
"NRS18_CA_10006",1.24,0,0.1,76.774,0.001302524,0
"NRS18_CA_10007",4.1,0.0329,0.118,43.744,0.002697513,0.000752103
"NRS18_CA_10008",1.02,0.027,0.085,12.468,0.006817453,0.002165544
"NRS18_CA_10009",0.35,0.0018,0.026,9.75,0.002666667,0.000184615
"NRS18_CA_10010",1.46,0.022,0.104,16.735,0.00621452,0.00131461
"NRS18_CA_10011",2.6,4.6293,4.119,45.764,0.090005244,0.10115593
"NRS18_CA_10012",1.36,0.0054,0.1,26.059,0.003837446,0.000207222
"NRS18_CA_10013",2.38,0.0012,0.253,56.07,0.004512217,2.14018e-05
"NRS18_CA_10014",1.51,0.012,0.156,32.05,0.004867395,0.000374415
"NRS18_CA_10015",1.26,0.0035,0.091,17.379,0.005236205,0.000201392
"NRS18_CA_10016",1.8,2.8207,3.075,61.698,0.049839541,0.045717851
"NRS18_CA_10018",1.42,0.0194,0.6,11.153,0.053797185,0.001739442
"NRS18_CA_10019",0.65,0.0232,0.0775,18.523,0.0042289535,0.001291155
"NRS18_CA_10020",3.155,0.0491,0.2985,25.791,0.0133673185,0.0020307605
"NRS18_CA_10021",0.6,0.0323,0.129,28.305,0.004557499,0.001141141
"NRS18_CA_10022",0.92,0.076,0.134,59.538,0.002250663,0.001276496
"NRS18_CA_10024",2.57,0.0013,0.109,12.919,0.008437186,0.000100627
"NRS18_CA_10025",3.3,5.0186,5.413,1270.3,0.004261198,0.00395072
"NRS18_CA_10026",0.63,0,0.028,30.268,0.000925069,0
"NRS18_CA_10027",0.97,0.0022,0.046,26.339,0.00174646,8.35263e-05
"NRS18_CA_10028",1.63,4e-04,0.187,62.18,0.003007398,6.43294e-06
"NRS18_CA_10029",1.47,0.2321,0.706,93.288,0.007567962,0.002487994
"NRS18_CA_10030",2.23,0.3487,0.632,39.93,0.015827698,0.008732782
"NRS18_CA_10031",1.14,0.0017,0.113,24.676,0.004579348,6.88929e-05
"NRS18_CA_10032",1.74,0.0202,0.153,20.801,0.007355416,0.000971107
"NRS18_CA_10033",2.37,0.7857,1.239,210.551,0.00588456,0.003731637
"NRS18_CA_10034",1.52,0.0014,0.146,43.223,0.003377831,3.23902e-05
"NRS18_CA_10035",3.86,2.0731,2.306,368.764,0.006253322,0.005621753
"NRS18_CA_10036",1.51,0.0351,0.804,110.926,0.007248075,0.000316427
"NRS18_CA_10044",3.29,0.0442,0.335,94.699,0.003537524,0.000466742
"NRS18_CA_10048",9.02,0.1137,1.086,167.514,0.00648304,0.000678749
"NRS18_CA_10049",8.26,0.0015,0.593,36.425,0.016280027,4.11805e-05
"NRS18_CA_10052",1.55,0.1011,0.591,80.051,0.007382793,0.001262945
"NRS18_CA_10054",2.76,1.5122,1.664,255.513,0.006512389,0.00591829
"NRS18_CA_10055",1.63,0.0217,0.116,62.884,0.001844666,0.00034508
"NRS18_CA_10056",2.84,0.0012,0.191,26.341,0.007251053,4.55564e-05
"NRS18_CA_10059",2.4,0.0701,0.289,53.869,0.005364867,0.001301305
"NRS18_CA_10065",3.37,0.0071,0.361,105.444,0.003423618,6.73343e-05
"NRS18_CA_10066",0.49,0.0166,0.066,20.16,0.00327381,0.000823413
"NRS18_CA_10088",0.92,0.001,0.151,57.801,0.002612412,1.73007e-05
"NRS18_CA_10094",0.45,0.0186,0.044,22.481,0.001957208,0.000827365
"NRS18_CA_10108",0.44,0.0016,0.036,21.615,0.00166551,7.40227e-05
"NRS18_CA_10247",2.59,0.3487,0.628,83.289,0.007540011,0.004186627
"NRS18_CA_10322",1.34,0.1233,0.655,81.288,0.00805777,0.001516829
"NRS18_CA_10324",0.79,NA,0.082,43.216,0.001897445,0
"NRS18_CA_10343",0.44,0.109,0.133,102.195,0.001301434,0.001066588
"NRS18_CA_10352",0.42,0.1204,0.202,14.305,0.014120937,0.008416638
"NRS18_CA_10389",0.47,0.0108,0.063,13.313,0.004732217,0.000811237
"NRS18_CA_10548",8.89,0,0.668,173.646,0.003846907,0
"NRS18_CA_10788",1.33,0.0399,0.116,13.093,0.008859696,0.00304743
"NRS18_CA_10795",1.34,0.0061,0.093,23.138,0.004019362,0.000263636
"NRS18_CA_10889",2.84,0.0012,0.311,75.576,0.004115063,1.58781e-05
"NRS18_CO_10002",3.15,0.89205,1.2895,141.783,0.011773918,0.0084553195
"NRS18_CO_10003",2.285,0.08515,0.174,6.4475,0.025255028,0.011197755
"NRS18_CO_10004",1.84,0.0076,1.423,94.75,0.01501847,8.02111e-05
"NRS18_CO_10005",4.03,0.0021,0.585,88.125,0.006638298,2.38298e-05
"NRS18_CO_10009",4.59,0.0103,0.449,67.335,0.006668152,0.000152967
"NRS18_CO_10010",4.15,1.0383,2.038,91.313,0.022318837,0.01137078
"NRS18_CO_10011",3.47,NA,0.333,55.376,0.006013435,0
"NRS18_CO_10012",3.69,3.6021,3.981,444.3,0.008960162,0.00810736
"NRS18_CO_10013",3.415,0.0056,0.176,41.6815,0.0041788965,0.000135018
"NRS18_CO_10014",3.485,0.5545,0.958,112.221,0.0092665275,0.00499189
"NRS18_CO_10016",8.01,0.9821,2.119,144.248,0.014689978,0.006808413
"NRS18_CO_10017",1.26,0.0035,0.103,14.513,0.007097085,0.000241163
"NRS18_CO_10018",2.72,0.1231,0.253,48.815,0.005182833,0.002521766
"NRS18_CO_10020",5.81,3e-04,0.621,140.265,0.004427334,2.13881e-06
"NRS18_CO_10021",4.53,2.4338,2.919,808.6,0.003609943,0.003009894
"NRS18_CO_10024",1.41,0.0016,0.118,11.864,0.009946055,0.000134862
"NRS18_CO_10026",4.14,0.004,0.338,42.414,0.007969067,9.43085e-05
"NRS18_CO_10028",8.06,0.3524,2.059,569.805,0.003613517,0.000618457
"NRS18_CO_10033",2.89,0.0042,0.206,16.998,0.012119073,0.000247088
"NRS18_CO_10034",1.12,0.0265,0.13,83.816,0.001551017,0.000316169
"NRS18_CO_10042",2.17,0.0086,0.353,10.999,0.032093827,0.000781889
"NRS18_CO_10046",2.47,NA,0.301,72.953,0.004125944,0
